id,id_prod_studio,id_artiste,id_oeuvre,date_signature,cout
1,6,86,1,2004-01-13,3197096
2,6,147,1,2004-02-14,3094630
3,6,66,1,2004-01-27,4490154
4,6,97,1,2004-02-01,525943
5,6,198,1,2004-02-08,1557069
6,6,200,1,2004-01-26,4136973
7,6,67,1,2004-02-06,2771956
8,6,141,1,2004-02-10,4555317
9,5,230,2,2015-02-19,439035
10,5,128,2,2015-02-13,2226531
11,5,219,2,2015-01-19,4360024
12,5,67,2,2015-01-21,2744088
13,5,140,2,2015-01-06,4346739
14,5,168,2,2015-01-29,750363
15,5,166,2,2015-01-19,4450194
16,5,72,2,2015-01-23,19987
17,5,213,2,2015-01-18,3535506
18,5,115,2,2015-01-27,1046293
19,5,114,2,2015-02-18,1848129
20,5,156,2,2015-01-27,1254131
21,5,103,2,2015-01-20,2440960
22,5,209,2,2015-02-19,4101457
23,2,130,3,2015-02-15,557456
24,2,225,3,2015-02-06,3179285
25,2,179,3,2015-01-16,3588339
26,2,154,3,2015-02-06,3861213
27,2,200,3,2015-02-13,2298622
28,2,98,3,2015-02-06,4687006
29,7,138,4,2014-02-11,2482233
30,7,116,4,2014-02-15,730101
31,7,73,4,2014-02-12,1981479
32,7,99,4,2014-01-13,1310389
33,7,238,4,2014-01-28,4832408
34,6,102,5,2009-01-14,2250304
35,6,86,5,2009-02-15,3090803
36,6,148,5,2009-02-13,3458839
37,6,64,5,2009-01-27,427905
38,6,152,5,2009-02-06,2399569
39,6,109,5,2009-02-16,4181542
40,6,174,5,2009-02-07,3222012
41,6,107,5,2009-02-20,4067466
42,6,68,5,2009-01-07,42754
43,2,83,6,2006-02-08,1960784
44,2,53,6,2006-01-23,4384141
45,2,199,6,2006-02-20,4335428
46,2,109,6,2006-02-07,3749773
47,2,105,6,2006-02-07,3200768
48,1,131,7,2010-02-04,811411
49,1,227,7,2010-01-08,3995375
50,1,198,7,2010-02-03,249344
51,1,233,7,2010-01-30,2020638
52,6,226,8,2012-02-20,1819297
53,6,220,8,2012-01-29,2154242
54,6,175,8,2012-01-12,1334084
55,6,68,8,2012-02-17,3224624
56,6,133,8,2012-02-09,4933984
57,6,165,8,2012-02-10,2195914
58,6,182,8,2012-02-01,4409159
59,6,237,8,2012-01-29,2080777
60,6,149,8,2012-02-03,4678014
61,6,122,8,2012-02-11,862726
62,1,154,9,2008-02-12,133875
63,1,129,9,2008-02-19,2592711
64,1,95,9,2008-01-08,2995258
65,1,226,9,2008-01-16,2486974
66,1,125,9,2008-01-22,379958
67,1,74,9,2008-01-14,3027122
68,1,151,9,2008-02-15,1079938
69,1,85,9,2008-02-19,2916042
70,1,114,9,2008-01-18,4702273
71,1,186,9,2008-01-10,1877612
72,1,175,9,2008-02-20,2807343
73,6,67,10,2012-02-03,377236
74,6,135,10,2012-01-11,1179027
75,6,102,10,2012-01-22,1841582
76,6,201,10,2012-01-15,2647840
77,6,126,10,2012-02-11,2082074
78,6,124,10,2012-01-21,3055691
79,1,167,11,2005-02-01,1384407
80,1,120,11,2005-01-23,1259764
81,1,73,11,2005-01-11,1978527
82,1,222,11,2005-01-22,4574610
83,1,101,11,2005-01-12,4972927
84,1,202,11,2005-01-13,2070018
85,1,81,11,2005-02-13,3080423
86,1,97,11,2005-01-07,3765356
87,1,72,11,2005-01-13,2583230
88,1,70,11,2005-01-23,1025343
89,8,153,12,2018-01-16,1673383
90,8,176,12,2018-01-19,100631
91,8,232,12,2018-01-25,3616986
92,8,236,12,2018-01-17,591409
93,8,146,12,2018-02-18,4159013
94,8,214,12,2018-01-18,3205298
95,8,213,12,2018-02-16,2675770
96,8,123,12,2018-01-26,4708206
97,8,99,12,2018-01-09,1287918
98,8,139,12,2018-01-29,1836475
99,7,117,13,2016-02-11,488878
100,7,113,13,2016-01-24,2530191
101,7,211,13,2016-02-10,386045
102,7,97,13,2016-02-11,577635
103,7,140,13,2016-02-04,4025225
104,7,68,13,2016-01-23,2755495
105,7,213,13,2016-02-19,1655947
106,7,205,13,2016-01-18,1428354
107,7,96,13,2016-02-12,4867553
108,7,144,13,2016-02-19,1837791
109,7,120,13,2016-02-20,1428833
110,1,168,14,2016-01-08,84270
111,1,160,14,2016-01-26,1925894
112,1,154,14,2016-02-09,275885
113,1,161,14,2016-01-16,3924495
114,1,181,14,2016-01-19,1021666
115,1,223,14,2016-01-23,3244662
116,1,196,14,2016-01-22,3610327
117,6,202,15,2017-02-04,286504
118,6,128,15,2017-01-28,2247841
119,6,173,15,2017-01-18,393082
120,6,178,15,2017-01-12,4090040
121,6,187,15,2017-02-13,1698606
122,6,210,15,2017-02-02,3257707
123,6,135,15,2017-02-20,4440067
124,6,97,15,2017-01-19,2824787
125,6,179,15,2017-01-23,3118087
126,6,228,15,2017-02-03,2675851
127,6,159,15,2017-02-05,2458884
128,6,183,15,2017-02-20,1936785
129,6,192,15,2017-01-17,2362
130,6,182,15,2017-01-13,1711574
131,6,141,15,2017-01-08,2542541
132,2,120,16,2018-01-13,2661314
133,2,205,16,2018-01-11,1344285
134,2,183,16,2018-01-06,1363310
135,2,114,16,2018-01-23,1333649
136,2,109,16,2018-01-19,2242073
137,2,204,16,2018-01-29,1656817
138,4,204,17,2011-02-07,2246139
139,4,165,17,2011-02-04,170127
140,4,162,17,2011-01-25,4154279
141,4,194,17,2011-01-27,4352725
142,4,174,17,2011-02-19,1667097
143,4,87,17,2011-02-13,3234533
144,4,167,17,2011-02-07,3401129
145,4,221,17,2011-01-28,2206734
146,4,146,17,2011-01-28,1489916
147,4,224,17,2011-02-03,4280210
148,6,39,18,2008-01-15,1682522
149,6,240,18,2008-02-01,23645
150,6,172,18,2008-01-15,1674534
151,6,72,18,2008-02-10,2969838
152,6,93,18,2008-01-25,669269
153,6,137,18,2008-01-13,4589344
154,6,70,18,2008-02-13,2918316
155,6,171,18,2008-02-18,317016
156,6,86,18,2008-01-28,3269469
157,3,103,19,2016-01-06,4901679
158,3,115,19,2016-01-27,1104057
159,3,116,19,2016-01-14,1360103
160,3,212,19,2016-02-13,1284727
161,3,213,19,2016-01-25,1694037
162,3,239,19,2016-02-17,2171921
163,3,147,19,2016-01-25,456021
164,3,64,19,2016-02-03,6147
165,3,187,19,2016-01-17,1357409
166,3,155,19,2016-01-22,4776374
167,3,216,19,2016-01-15,2376982
168,3,158,19,2016-01-10,710511
169,3,185,19,2016-02-20,3795351
170,3,195,19,2016-02-02,541257
171,3,228,19,2016-01-13,4330395
172,1,72,20,2015-02-02,3534017
173,1,219,20,2015-01-19,3588457
174,1,121,20,2015-02-20,2208914
175,1,99,20,2015-02-13,4611420
176,1,135,20,2015-01-24,4774444
177,1,119,20,2015-02-16,1883321
178,1,207,20,2015-02-04,4615356
